id,additional_information,source_comments
114610,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3,  pen source, Party had a chance to review following our outreach emails in 2021

EAGLE; 2020-05-07
3 traffickers (TCHEUKOU ThÃ©ophile, MANYOMBE Samuel and MAKEMBE Juliette Lydie) arrested with two ivory tusks weighing 26kg. The two men transported the ivory in the trunk of a car and were arrested during an attempt to sell the tusks. They had carefully and skillfully concealed the tusks inside a bag. The car belongs to a customer at the automobile repair workshop where one of the traffickers worked. The third trafficker, a woman, was arrested a couple of hours later on her way to church. She gave the ivory tusks to one of the arrested traffickers to sell. One of the traffickers belongs to a larger network dealing in illicit trade in wildlife, mining products including ivory and gold. 
https://www.eagle-enforcement.org/news/3-traffickers-arrested-with-two-tusks--A584/

AllAfrica.com; 2020-12-02
The Court of First Instance of Ndokoti in Douala has sentenced an ivory trafficker to one year in prison and to pay a fine of 200.000FCFA. Manyombe Samuel JoÃ«l was charged with illegal possession and trafficking of ivory tusks following his arrest last May. He was arrested alongside Makembe Lydie and Tchiekou ThÃ©ophile who were equally charged for similar offences but given a one year suspended sentence term for 3 years each. They were equally ordered to pay a fine of 200 000 FCFA. The court judgement was passed on November 26. Three suspected wildlife traffickers shall appear at the Court of First Instance of Ndokoti in Douala on November 26, 2020 to answer to charges of ivory trafficking. The three were arrested on May 7 during a crackdown operation carried out by the Littoral Regional Delegation of Forestry and Wildlife in collaboration with the Police.
https://allafrica.com/stories/202012030217.html 

Camer.be; 2020-11-19
Three suspected wildlife traffickers shall appear at the Court of First Instance of Ndokoti in Douala on November 26, 2020 to answer to charges of ivory trafficking. The three were arrested on May 7 during a crackdown operation carried out by the Littoral Regional Delegation of Forestry and Wildlife in collaboration with the Police. They were found with an unlawful possession of 26 kg of ivory tusks. The operation was carried out with the technical assistance of LAGA, a non-governmental organization.
https://www.camer.be/83219/11:1/cameroun-three-ivory-traffickers-shall-appear-in-court-cameroon.html","EAGLE; 2020-05-07; seizure of 2 tusks weighing 26 kg; three arrests in Cameroon
https://www.eagle-enforcement.org/news/3-traffickers-arrested-with-two-tusks--A584/

AllAfrica.com; 2020-12-02; three arrests
https://allafrica.com/stories/202012030217.html 

Camer.be; 2020-11-19; same info as above
https://www.camer.be/83219/11:1/cameroun-three-ivory-traffickers-shall-appear-in-court-cameroon.html"
120168,"Alberton Record; 2023-10-04
Benoni and Sedibeng SAPS K9 Unit together with SAPS Stock Theft Unit joined forces with Fox Security to apprehend two suspects on September 29. This was after the members entered premises in the Alberton SAPS policing precinct where the two suspects were found with an elephant tusk of about 32kg, worth around R210 000.The duo was marched to Alberton SAPS where they were charged for possession of ivory or elephant tusk. They are expected to appear in the Palm Ridge Magistrateâ€™s Court soon.
https://albertonrecord.co.za/352587/duo-busted-for-possession-of-an-elephant-tusk-in-alberton/","Alberton Record; 2023-10-04; possession of 1 tusk weighing 32 kg and worth R210,000; two arrests in Alberton
https://albertonrecord.co.za/352587/duo-busted-for-possession-of-an-elephant-tusk-in-alberton/"
114832,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

Of Congolese nationality, these two individuals were arrested by agents of the Nkayi Water and Forests brigade and the gendarmes with the support of the PLAF project. A seized ivory tusk, weighing 1 kg, representing a killed elephant, a fully protected animal species. These alleged wildlife delinquents were arrested on December 12 in Nkayi in Bouenza. They are said to be regulars in the illegal trade in wildlife products in Bouenza and LÃ©koumou. One of the two suspected traffickers would have bought this ivory tusk in Sibiti from the poachers. He intended to resell it to Nkayi to his potential clients. The other would be his accomplice who would help him in this illicit traffic in the sugar town.
https://www.vox.cg/2020/12/deux-personnes-arretees-a-nkayi-avec-une-pointe-divoire/","Vox Congo; 2020-12-21; possession and attempt to sell 1 tusk weighing 1 kg; two arrests in Nkayi, Congo
https://www.vox.cg/2020/12/deux-personnes-arretees-a-nkayi-avec-une-pointe-divoire/"
118872,"Weixin.qq; 2023-02-25
Recently, the customs officer of Wuhan Post Office conducted a manual inspection of an inbound parcel with abnormal CT machine inspection images, and found a pair of suspected ivory mahjong and a number of chips, weighing about 3200 grams, which was preliminarily identified by the on-site Raman spectrometer as ivory material, which is a prohibited article.
https://mp.weixin.qq.com/s/ijZfODLL97v5Y98LvzXIUg","Weixin.qq; 2023-02-25; seizure of 136 worked ivory pieces weighing a total of 3.2 kg by Wuhan Post Office Customs
https://mp.weixin.qq.com/s/ijZfODLL97v5Y98LvzXIUg"
118932,"Weixin.qq; 2022-08-12
Recently, when supervising the mail, the Qianjiang Customs officer under Hangzhou Customs found that there was an abnormality in the machine inspection image of an inbound mail declared as an ""accessory"". After opening and inspecting, it was found that one necklace, one pair of earrings and one brooch in the mail were milky white and had cross lines, which were unique to ivory products. After being sent to professional institutions for appraisal, it was determined that these four jewelry were modern ivory products of the mammalian proboscis elephant family, which belonged to the protected species listed in Appendix I of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), with a gross weight of 4.30 grams (including metal parts).
https://mp.weixin.qq.com/s/h5CnUQwV7I-Cs6gsRyoU3Q","Weixin.qq; 2022-08-12; seizure of 4 worked ivory pieces weighing a total of 30.36 g by Qianjiang Customs
https://mp.weixin.qq.com/s/h5CnUQwV7I-Cs6gsRyoU3Q"
115921,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

A member of poaching gang was arrested by the West Garo Hills (WGH) police along with the stateâ€™s wildlife team from the Indo- Bangla border with elephant tusks. Based on inputs from the BSF, at about 7 pm on May 28, a joint operation was conducted along with the Wildlife department of Tura. A raid on one of the suspectâ€™s house in Balijhora in Purakhasia led to the recovery of two elephant tusks. The accused was then arrested under Wildlife Protection Act after legal formalities were observed.
https://thenortheasttoday.com/states/meghalaya/meghalaya-poacher-arrested-with-elephant-tusks-from-ind0/cid2527076.htm","The Northeast Today; 2020-05-30; possession of 2 tusks; one arrest Balijhora, India
https://thenortheasttoday.com/states/meghalaya/meghalaya-poacher-arrested-with-elephant-tusks-from-ind0/cid2527076.htm"
115960,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

The 3 alleged poachers, all 3 of Congolese origin, were apprehended on April 25, 2020, in flagrante delicto of possession of ivory points making a total of 2 kg, an elephant tail and a 12 gauge which seems to have been used for the slaughter of the pachyderm. The 3 protagonists were arrested following an investigation by the anti-poaching patrol team of the Espace Tridom Congo Project (ETIC).
https://www.vox.cg/2020/05/arrestation-des-braconniers-au-nord-ouest-du-congo/","Vox Congo; 2020-05-09; seizure of 2 kg of raw ivory and 1 elephant tail; three arrests in Congo
https://www.vox.cg/2020/05/arrestation-des-braconniers-au-nord-ouest-du-congo/"
120094,"Weixin; 2023-04-23

Recently, customs officers at the post office affiliated to Chongqing Customs found that the machine-checked image of an inbound package declared as ""clothes"" had typical image features of ivory during routine machine inspection of inbound parcels, and the intelligent image review system of the inspection CT machine also An ""ivory"" alarm message is issued, and the package is intercepted and opened for inspection. After opening it, it was found that there were 3 painting scrolls in the package, one of which had a white animal bone head, which was highly suspected to be made of ivory. After on-site testing and identification by the Chongqing Customs Technology Center, the intercepted painting scroll head was indeed made of ivory, with a gross weight of 423 grams.  https://mp.weixin.qq.com/s/ZctvUMG9jos03dJlydwoPQ","Weixin; 2023-04-23; Chongqing Postal Customs Seized Two Ivory 
Painting Scroll Heads in an Inbound Parcel; https://mp.weixin.qq.com/s/ZctvUMG9jos03dJlydwoPQ"
115931,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

Chirang police on Sunday arrested one elephant tusk smuggler identified as Alen Basumatary and recovered two tusks from his possession. The operation was led by Chirang Additional Superintendent of Police (HQ) Prakash Medhi and his team in association with Chirang forest department. Interacting with Northeast Now, Chirang DFO Brahmananda Patiri said, â€œWe received a specific input that around 60 kilograms of elephant tusk was hidden somewhere in Dadgiri area.â€ â€œWe passed on the information to the Chirang police and they carried out an operation and picked up five suspected smugglers on Saturday,â€ Patiri added. â€œAfter rigorous interrogation, one poacher was kept in custody while others were allowed to go. From his possession, the police later recovered the two elephant tusks,â€ the DFO further added. He further informed that more operations will be carried out against poachers and elephant tusksâ€™ smugglers in the coming few weeks. â€œWe suspect more tusks is kept hidden somewhere near the Nepal and Bhutan border. Due to the lockdown these tusks have not been transported out and we are sure to nab the culprits soon,â€ he added. He also thanked the Chirang police for recovering the tusks.
https://nenow.in/north-east-news/assam/assam-elephant-tusk-smuggler-arrested-in-chirang-two-tusks-recovered.html","North East Now; 2020-08-24; possession of 2 tusks; one arrest in Dadgiri, India
https://nenow.in/north-east-news/assam/assam-elephant-tusk-smuggler-arrested-in-chirang-two-tusks-recovered.html"
115933,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

Periya Range Forest officials have arrested four persons from Mananthavady for keeping in their possession elephant tusks weighing 20kg and trying to sell them. The arrested are Vinod,30, Raghavan,39, Raju,34, and Gopi, 38 -- all from Kattiyeri Colony. The forest officials had found a one-and-a-half-year-old carcass of an elephant inside the Peria forest four months ago. But the tusks were missing from the body. â€œOnly the tribal people who collect honey enter this part of the forest. So, we conducted a search concentrating the tribal people and finally, nabbed these persons,â€ said M K Rajivkumar, Peria Range Forest Officer. According to the statements of the accused, the trio collected the ivory from the carcass of a tusker one year ago.
https://www.newindianexpress.com/states/kerala/2020/sep/05/four-arrested-with-20kg-ivory-2192619.html","The New Indian Express; 2020-09-05; possession and attempt to sell 2 tusks weighing a total of 20 kg; four arrests in Mananthavady, India
https://www.newindianexpress.com/states/kerala/2020/sep/05/four-arrested-with-20kg-ivory-2192619.html"
118018,"Four persons were arrested for trying to sell elephant tusks at Annur Hosahalli in H D Kote taluk of Mysuru district, on Friday [26/03/2021]. The Forest Mobile Squad arrested accused, Ravikumar, 32, of Tumbasoge village in Sargur taluk, Shivakumar, 34, Kumaranayaka, 35, of H D Kote and another from Periyapatna. The accused were trying to sell two tusks, each measuring 1.5 foot, said Deputy Conservator of Forests A T Poovaiah.
https://www.deccanherald.com/state/four-arrested-for-smuggling-elephant-tusks-in-karnataka-967160.html","Deccan Herald; 2021-03-27; attempt to sell 2 tusks; four arrests at Annur Hosahalli
https://www.deccanherald.com/state/four-arrested-for-smuggling-elephant-tusks-in-karnataka-967160.html"
