title,link,published,summary,label
Review Online,https://reviewonline.co.za/557384/zimbabweans-arrested-at-border-with-an-elephant-tusk-and-pangolin/,2022-11-21,"Two Zimbabwean nationals, aged 32 and 43-years-old are expected to appear before the Musina Magistrate’s Court today (November 21) on charges of possession of protected species following their arrest on Friday (November 18). Police spokesperson Colonel Malesela Ledwaba said the duo were arrested in posession of a pangolin and an elephant tusk worth R1m along the Beitbridge Border Line. “The suspects were arrested following a joint sting operation conducted by the Crime Intelligence Unit, Stock Theft and Endangered Species Unit and the Beitbridge task team who were joined by members of the SANDF and Wildlife Centre. Members received information about individuals who were in possession of protected species and had just crossed into South Africa from Zimbabwe using a boat,” a statement read. Ledwaba said the suspects were apprehended at midday along the western Beitbridge border line and that the pangolin and elephant tusk were found concealed inside the bags that they were carrying. “Police investigations continue,” he said. https://reviewonline.co.za/557384/zimbabweans-arrested-at-border-with-an-elephant-tusk-and-pangolin/",1
Times Live,https://www.timeslive.co.za/news/south-africa/2022-11-21-suspects-nabbed-with-pangolin-elephant-tusk-at-beitbridge-border/,2022-11-21,"Two suspects who were arrested for possession of a pangolin and an elephant tusk worth R1m at the Beitbridge bridge border line in Limpopo are expected to appear in court on Monday. The Zimbabwean nationals aged 32 and 43 were arrested on Friday and are facing charges of possession of protected species. Limpopo police spokesperson Col Malesela Ledwaba said the suspects were arrested following a sting joint operation by crime intelligence, the stock theft and endangered species unit and Beitbridge task team joined by members of the military and the Wildlife Centre. He said information was received about suspects in possession of protected species who had crossed into South Africa from Zimbabwe using a boat. “An operation was conducted and the suspects were apprehended at about 12pm along the western border line at Beitbridge. One pangolin and an elephant tusk with an estimated street value of R1m were found concealed inside the bags they were carrying.” https://www.timeslive.co.za/news/south-africa/2022-11-21-suspects-nabbed-with-pangolin-elephant-tusk-at-beitbridge-border/",1
Bulawayo 24 News,https://bulawayo24.com/index-id-news-sc-national-byo-225636.html,2022-11-22,"Two suspects who were arrested for possession of a pangolin and an elephant tusk worth R1m (US$58,000) at the Beitbridge bridge border line in Limpopo are expected to appear in court this week. The Zimbabwean nationals aged 32 and 43 were arrested on Friday and are facing charges of possession of protected species. Limpopo police spokesperson Col Malesela Ledwaba said the suspects were arrested following a sting joint operation by crime intelligence, the stock theft and endangered species unit and Beitbridge task team joined by members of the military and the Wildlife Centre. He said information was received about suspects in possession of protected species who had crossed into South Africa from Zimbabwe using a boat. ""An operation was conducted and the suspects were apprehended at about 12pm along the western border line at Beitbridge. One pangolin and an elephant tusk with an estimated street value of R1m were found concealed inside the bags they were carrying."" Ledwaba said the suspects were apprehended at midday along the western Beitbridge border line and that the pangolin and elephant tusk were found concealed inside the bags that they were carrying. ""Police investigations continue,"" he said. https://bulawayo24.com/index-id-news-sc-national-byo-225636.html",1
The Herald,https://www.herald.co.zw/two-suspected-poachers-nabbed-in-sa/,2022-11-24,"TWO Zimbabweans aged 32 and 43 have been arrested in South Africa for allegedly smuggling an elephant tusk and a pangolin, worth around R1 million, through an illegal entry point along the Limpopo River. The suspects were arrested last Friday and are expected to appear before the Musina Magistrate’s Court soon. Limpopo police spokesperson Colonel Malesela Ledwaba confirmed. “The two were arrested following a sting joint operation by the police’s Intelligence Unit, Stock Theft and Endangered Species Unit, Beitbridge Task team joined by members of SANDF and Wildlife centre on Friday,” he said. “Our officers received information about individuals who were in possession of protected species and who had just crossed into South Africa from Zimbabwe using a boat. “Thorough investigations, and an operation, were conducted resulting in the apprehension of the suspects around 12 noon on the western side of the Beitbridge Border Post”. Col Ledwaba said the team recovered one pangolin and an elephant tusk with an estimated street value of R1 million from the suspects’ bags. South African police also arrested two other people aged 33 and 40 for illegal possession of explosives at the Beitbridge border post on the same day. The suspects, Col Ledwaba said, were arrested at about 5am as they crossed into South Africa from Zimbabwe. “This after their truck with two trailers was stopped and upon searching it, the police together with SARS Custom Officials discovered 16 x 25kg bags containing commercial explosives hidden inside the two trailers. “Members of the Musina Explosives Unit attended the scene and 17 reels of detonating fuse, 1 250 units of connector capped fuse, and 2 569 units of 28 mm x 270 mm blasting cartridges made from superpower 90 in Zambia were confiscated,” he said. The male driver and a female passenger were arrested on the spot and the truck was also confiscated. https://www.herald.co.zw/two-suspected-poachers-nabbed-in-sa/",1
"It is understood that in the early morning of February 13, Lanzhou Customs was attached to Zhongchuan Airport Customs to supervise the flight of ZA713 from Lanzhou, Luang Prabang, Laos, and seized 7 suspected ivory bracelets from the luggage carried by 7 Chinese tourists, a total of 201 grams. Approved by relevant departments, all are ivory materials. Currently, the case is under further investigation.",http://www.sohu.com/a/294978005_123753,,"It is understood that in the early morning of February 13, Lanzhou Customs was attached to Zhongchuan Airport Customs to supervise the flight of ZA713 from Lanzhou, Luang Prabang, Laos, and seized 7 suspected ivory bracelets from the luggage carried by 7 Chinese tourists, a total of 201 grams. Approved by relevant departments, all are ivory materials. Currently, the case is under further investigation. http://www.sohu.com/a/294978005_123753",1
"The Forest CID team nabbed two people here on Sunday evening while they were attempting to sell an elephant tusk, allegedly worth Rs 75,000. The accused Poonacha of Bollumadu village, a writer in the coffee estate and K M Ganesh, a jeweller from Virajpet, were planning to sell the tusk to a jeweller in Shivamogga. Based on reliable information, the CID team decided to trap them and conducted a decoy operation. They approached the duo as a prospective buyer and collected all the information regarding the deal. The team finally arrested them and seized the tusk which weighed two-and-half kilograms. Forest department estimated that the seized tusk was valued at Rs 75,000.",http://www.newindianexpress.com/states/karnataka/2019/mar/12/karnataka-two-held-while-trying-to-sell-elephant-tusk-1950047.html,,"The Forest CID team nabbed two people here on Sunday evening while they were attempting to sell an elephant tusk, allegedly worth Rs 75,000. The accused Poonacha of Bollumadu village, a writer in the coffee estate and K M Ganesh, a jeweller from Virajpet, were planning to sell the tusk to a jeweller in Shivamogga. Based on reliable information, the CID team decided to trap them and conducted a decoy operation. They approached the duo as a prospective buyer and collected all the information regarding the deal. The team finally arrested them and seized the tusk which weighed two-and-half kilograms. Forest department estimated that the seized tusk was valued at Rs 75,000. http://www.newindianexpress.com/states/karnataka/2019/mar/12/karnataka-two-held-while-trying-to-sell-elephant-tusk-1950047.html",1
EAGLE,https://www.eagle-enforcement.org/news/3-traffickers-arrested-with-two-tusks--A584/,2020-05-07,"3 traffickers (TCHEUKOU Théophile, MANYOMBE Samuel and MAKEMBE Juliette Lydie) arrested with two ivory tusks weighing 26kg. The two men transported the ivory in the trunk of a car and were arrested during an attempt to sell the tusks. They had carefully and skillfully concealed the tusks inside a bag. The car belongs to a customer at the automobile repair workshop where one of the traffickers worked. The third trafficker, a woman, was arrested a couple of hours later on her way to church. She gave the ivory tusks to one of the arrested traffickers to sell. One of the traffickers belongs to a larger network dealing in illicit trade in wildlife, mining products including ivory and gold. https://www.eagle-enforcement.org/news/3-traffickers-arrested-with-two-tusks--A584/",1
AllAfrica.com,https://allafrica.com/stories/202012030217.html,2020-12-02,"The Court of First Instance of Ndokoti in Douala has sentenced an ivory trafficker to one year in prison and to pay a fine of 200.000FCFA. Manyombe Samuel Joël was charged with illegal possession and trafficking of ivory tusks following his arrest last May. He was arrested alongside Makembe Lydie and Tchiekou Théophile who were equally charged for similar offences but given a one year suspended sentence term for 3 years each. They were equally ordered to pay a fine of 200 000 FCFA. The court judgement was passed on November 26. Three suspected wildlife traffickers shall appear at the Court of First Instance of Ndokoti in Douala on November 26, 2020 to answer to charges of ivory trafficking. The three were arrested on May 7 during a crackdown operation carried out by the Littoral Regional Delegation of Forestry and Wildlife in collaboration with the Police. https://allafrica.com/stories/202012030217.html",1
Camer.be,https://www.camer.be/83219/11:1/cameroun-three-ivory-traffickers-shall-appear-in-court-cameroon.html,2020-11-19,"Three suspected wildlife traffickers shall appear at the Court of First Instance of Ndokoti in Douala on November 26, 2020 to answer to charges of ivory trafficking. The three were arrested on May 7 during a crackdown operation carried out by the Littoral Regional Delegation of Forestry and Wildlife in collaboration with the Police. They were found with an unlawful possession of 26 kg of ivory tusks. The operation was carried out with the technical assistance of LAGA, a non-governmental organization. https://www.camer.be/83219/11:1/cameroun-three-ivory-traffickers-shall-appear-in-court-cameroon.html",1
Alberton Record,https://albertonrecord.co.za/352587/duo-busted-for-possession-of-an-elephant-tusk-in-alberton/,2023-10-04,"Benoni and Sedibeng SAPS K9 Unit together with SAPS Stock Theft Unit joined forces with Fox Security to apprehend two suspects on September 29. This was after the members entered premises in the Alberton SAPS policing precinct where the two suspects were found with an elephant tusk of about 32kg, worth around R210 000.The duo was marched to Alberton SAPS where they were charged for possession of ivory or elephant tusk. They are expected to appear in the Palm Ridge Magistrate’s Court soon. https://albertonrecord.co.za/352587/duo-busted-for-possession-of-an-elephant-tusk-in-alberton/",1
"Of Congolese nationality, these two individuals were arrested by agents of the Nkayi Water and Forests brigade and the gendarmes with the support of the PLAF project. A seized ivory tusk, weighing 1 kg, representing a killed elephant, a fully protected animal species. These alleged wildlife delinquents were arrested on December 12 in Nkayi in Bouenza. They are said to be regulars in the illegal trade in wildlife products in Bouenza and Lékoumou. One of the two suspected traffickers would have bought this ivory tusk in Sibiti from the poachers. He intended to resell it to Nkayi to his potential clients. The other would be his accomplice who would help him in this illicit traffic in the sugar town.",https://www.vox.cg/2020/12/deux-personnes-arretees-a-nkayi-avec-une-pointe-divoire/,,"Of Congolese nationality, these two individuals were arrested by agents of the Nkayi Water and Forests brigade and the gendarmes with the support of the PLAF project. A seized ivory tusk, weighing 1 kg, representing a killed elephant, a fully protected animal species. These alleged wildlife delinquents were arrested on December 12 in Nkayi in Bouenza. They are said to be regulars in the illegal trade in wildlife products in Bouenza and Lékoumou. One of the two suspected traffickers would have bought this ivory tusk in Sibiti from the poachers. He intended to resell it to Nkayi to his potential clients. The other would be his accomplice who would help him in this illicit traffic in the sugar town. https://www.vox.cg/2020/12/deux-personnes-arretees-a-nkayi-avec-une-pointe-divoire/",1
Weixin.qq,https://mp.weixin.qq.com/s/ijZfODLL97v5Y98LvzXIUg,2023-02-25,"Recently, the customs officer of Wuhan Post Office conducted a manual inspection of an inbound parcel with abnormal CT machine inspection images, and found a pair of suspected ivory mahjong and a number of chips, weighing about 3200 grams, which was preliminarily identified by the on-site Raman spectrometer as ivory material, which is a prohibited article. https://mp.weixin.qq.com/s/ijZfODLL97v5Y98LvzXIUg",1
Weixin.qq,https://mp.weixin.qq.com/s/h5CnUQwV7I-Cs6gsRyoU3Q,2022-08-12,"Recently, when supervising the mail, the Qianjiang Customs officer under Hangzhou Customs found that there was an abnormality in the machine inspection image of an inbound mail declared as an ""accessory"". After opening and inspecting, it was found that one necklace, one pair of earrings and one brooch in the mail were milky white and had cross lines, which were unique to ivory products. After being sent to professional institutions for appraisal, it was determined that these four jewelry were modern ivory products of the mammalian proboscis elephant family, which belonged to the protected species listed in Appendix I of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), with a gross weight of 4.30 grams (including metal parts). https://mp.weixin.qq.com/s/h5CnUQwV7I-Cs6gsRyoU3Q",1
"A member of poaching gang was arrested by the West Garo Hills (WGH) police along with the state’s wildlife team from the Indo- Bangla border with elephant tusks. Based on inputs from the BSF, at about 7 pm on May 28, a joint operation was conducted along with the Wildlife department of Tura. A raid on one of the suspect’s house in Balijhora in Purakhasia led to the recovery of two elephant tusks. The accused was then arrested under Wildlife Protection Act after legal formalities were observed.",https://thenortheasttoday.com/states/meghalaya/meghalaya-poacher-arrested-with-elephant-tusks-from-ind0/cid2527076.htm,,"A member of poaching gang was arrested by the West Garo Hills (WGH) police along with the state’s wildlife team from the Indo- Bangla border with elephant tusks. Based on inputs from the BSF, at about 7 pm on May 28, a joint operation was conducted along with the Wildlife department of Tura. A raid on one of the suspect’s house in Balijhora in Purakhasia led to the recovery of two elephant tusks. The accused was then arrested under Wildlife Protection Act after legal formalities were observed. https://thenortheasttoday.com/states/meghalaya/meghalaya-poacher-arrested-with-elephant-tusks-from-ind0/cid2527076.htm",1
"The 3 alleged poachers, all 3 of Congolese origin, were apprehended on April 25, 2020, in flagrante delicto of possession of ivory points making a total of 2 kg, an elephant tail and a 12 gauge which seems to have been used for the slaughter of the pachyderm. The 3 protagonists were arrested following an investigation by the anti-poaching patrol team of the Espace Tridom Congo Project (ETIC).",https://www.vox.cg/2020/05/arrestation-des-braconniers-au-nord-ouest-du-congo/,,"The 3 alleged poachers, all 3 of Congolese origin, were apprehended on April 25, 2020, in flagrante delicto of possession of ivory points making a total of 2 kg, an elephant tail and a 12 gauge which seems to have been used for the slaughter of the pachyderm. The 3 protagonists were arrested following an investigation by the anti-poaching patrol team of the Espace Tridom Congo Project (ETIC). https://www.vox.cg/2020/05/arrestation-des-braconniers-au-nord-ouest-du-congo/",1
"Recently, customs officers at the post office affiliated to Chongqing Customs found that the machine-checked image of an inbound package declared as ""clothes"" had typical image features of ivory during routine machine inspection of inbound parcels, and the intelligent image review system of the inspection CT machine also An ""ivory"" alarm message is issued, and the package is intercepted and opened for inspection. After opening it, it was found that there were 3 painting scrolls in the package, one of which had a white animal bone head, which was highly suspected to be made of ivory. After on-site testing and identification by the Chongqing Customs Technology Center, the intercepted painting scroll head was indeed made of ivory, with a gross weight of 423 grams.  https://mp.weixin.qq.com/s/ZctvUMG9jos03dJlydwoPQ",https://mp.weixin.qq.com/s/ZctvUMG9jos03dJlydwoPQ,,"Recently, customs officers at the post office affiliated to Chongqing Customs found that the machine-checked image of an inbound package declared as ""clothes"" had typical image features of ivory during routine machine inspection of inbound parcels, and the intelligent image review system of the inspection CT machine also An ""ivory"" alarm message is issued, and the package is intercepted and opened for inspection. After opening it, it was found that there were 3 painting scrolls in the package, one of which had a white animal bone head, which was highly suspected to be made of ivory. After on-site testing and identification by the Chongqing Customs Technology Center, the intercepted painting scroll head was indeed made of ivory, with a gross weight of 423 grams.  https://mp.weixin.qq.com/s/ZctvUMG9jos03dJlydwoPQ",1
"Chirang police on Sunday arrested one elephant tusk smuggler identified as Alen Basumatary and recovered two tusks from his possession. The operation was led by Chirang Additional Superintendent of Police (HQ) Prakash Medhi and his team in association with Chirang forest department. Interacting with Northeast Now, Chirang DFO Brahmananda Patiri said, “We received a specific input that around 60 kilograms of elephant tusk was hidden somewhere in Dadgiri area.” “We passed on the information to the Chirang police and they carried out an operation and picked up five suspected smugglers on Saturday,” Patiri added. “After rigorous interrogation, one poacher was kept in custody while others were allowed to go. From his possession, the police later recovered the two elephant tusks,” the DFO further added. He further informed that more operations will be carried out against poachers and elephant tusks’ smugglers in the coming few weeks. “We suspect more tusks is kept hidden somewhere near the Nepal and Bhutan border. Due to the lockdown these tusks have not been transported out and we are sure to nab the culprits soon,” he added. He also thanked the Chirang police for recovering the tusks.",https://nenow.in/north-east-news/assam/assam-elephant-tusk-smuggler-arrested-in-chirang-two-tusks-recovered.html,,"Chirang police on Sunday arrested one elephant tusk smuggler identified as Alen Basumatary and recovered two tusks from his possession. The operation was led by Chirang Additional Superintendent of Police (HQ) Prakash Medhi and his team in association with Chirang forest department. Interacting with Northeast Now, Chirang DFO Brahmananda Patiri said, “We received a specific input that around 60 kilograms of elephant tusk was hidden somewhere in Dadgiri area.” “We passed on the information to the Chirang police and they carried out an operation and picked up five suspected smugglers on Saturday,” Patiri added. “After rigorous interrogation, one poacher was kept in custody while others were allowed to go. From his possession, the police later recovered the two elephant tusks,” the DFO further added. He further informed that more operations will be carried out against poachers and elephant tusks’ smugglers in the coming few weeks. “We suspect more tusks is kept hidden somewhere near the Nepal and Bhutan border. Due to the lockdown these tusks have not been transported out and we are sure to nab the culprits soon,” he added. He also thanked the Chirang police for recovering the tusks. https://nenow.in/north-east-news/assam/assam-elephant-tusk-smuggler-arrested-in-chirang-two-tusks-recovered.html",1
"Periya Range Forest officials have arrested four persons from Mananthavady for keeping in their possession elephant tusks weighing 20kg and trying to sell them. The arrested are Vinod,30, Raghavan,39, Raju,34, and Gopi, 38 -- all from Kattiyeri Colony. The forest officials had found a one-and-a-half-year-old carcass of an elephant inside the Peria forest four months ago. But the tusks were missing from the body. “Only the tribal people who collect honey enter this part of the forest. So, we conducted a search concentrating the tribal people and finally, nabbed these persons,” said M K Rajivkumar, Peria Range Forest Officer. According to the statements of the accused, the trio collected the ivory from the carcass of a tusker one year ago.",https://www.newindianexpress.com/states/kerala/2020/sep/05/four-arrested-with-20kg-ivory-2192619.html,,"Periya Range Forest officials have arrested four persons from Mananthavady for keeping in their possession elephant tusks weighing 20kg and trying to sell them. The arrested are Vinod,30, Raghavan,39, Raju,34, and Gopi, 38 -- all from Kattiyeri Colony. The forest officials had found a one-and-a-half-year-old carcass of an elephant inside the Peria forest four months ago. But the tusks were missing from the body. “Only the tribal people who collect honey enter this part of the forest. So, we conducted a search concentrating the tribal people and finally, nabbed these persons,” said M K Rajivkumar, Peria Range Forest Officer. According to the statements of the accused, the trio collected the ivory from the carcass of a tusker one year ago. https://www.newindianexpress.com/states/kerala/2020/sep/05/four-arrested-with-20kg-ivory-2192619.html",1
"Four persons were arrested for trying to sell elephant tusks at Annur Hosahalli in H D Kote taluk of Mysuru district, on Friday [26/03/2021]. The Forest Mobile Squad arrested accused, Ravikumar, 32, of Tumbasoge village in Sargur taluk, Shivakumar, 34, Kumaranayaka, 35, of H D Kote and another from Periyapatna. The accused were trying to sell two tusks, each measuring 1.5 foot, said Deputy Conservator of Forests A T Poovaiah.",https://www.deccanherald.com/state/four-arrested-for-smuggling-elephant-tusks-in-karnataka-967160.html,,"Four persons were arrested for trying to sell elephant tusks at Annur Hosahalli in H D Kote taluk of Mysuru district, on Friday [26/03/2021]. The Forest Mobile Squad arrested accused, Ravikumar, 32, of Tumbasoge village in Sargur taluk, Shivakumar, 34, Kumaranayaka, 35, of H D Kote and another from Periyapatna. The accused were trying to sell two tusks, each measuring 1.5 foot, said Deputy Conservator of Forests A T Poovaiah. https://www.deccanherald.com/state/four-arrested-for-smuggling-elephant-tusks-in-karnataka-967160.html",1
"The Tianjin Airport customs recently confirmed that the smuggled pipe seized earlier by Tianjin customs was made of ivory according to the relevant identification report. At present, the case has been handed over to the follow-up disposal department for processing.  It is understood that during manual inspection at the airport customs express inspection site, a suspected ivory pipe was seized from an inbound express, weighing 1,70.03 grams.",https://k.sina.com.cn/article_2090512390_7c9ab00602001n21n.html,,"The Tianjin Airport customs recently confirmed that the smuggled pipe seized earlier by Tianjin customs was made of ivory according to the relevant identification report. At present, the case has been handed over to the follow-up disposal department for processing.  It is understood that during manual inspection at the airport customs express inspection site, a suspected ivory pipe was seized from an inbound express, weighing 1,70.03 grams. https://k.sina.com.cn/article_2090512390_7c9ab00602001n21n.html",1
"Two elephant tusks were found hidden in a rock cavity near Parunthumpara in the district on Thursday [23/09/2021]. A search was conducted in the area near Grampykokka under the Murinjapuzha forest station limit in the Erumeli range following a tip-off received by the forest intelligence wing. The tusks, weighing around five kg, were found hidden in the rock cavity by afternoon. Grampykokka is the downhill area of the tourist destination of Parunthumpara. It is suspected that someone living nearby could have hidden the tusks for sale. A case has been registered, a forest official said. A search will be conducted in the forests for the carcass of the elephant suspected to have been killed by poachers.",https://www.thehindu.com/news/national/kerala/elephant-tusks-seized-from-rock-cavity-in-parunthumpara/article36639148.ece,,"Two elephant tusks were found hidden in a rock cavity near Parunthumpara in the district on Thursday [23/09/2021]. A search was conducted in the area near Grampykokka under the Murinjapuzha forest station limit in the Erumeli range following a tip-off received by the forest intelligence wing. The tusks, weighing around five kg, were found hidden in the rock cavity by afternoon. Grampykokka is the downhill area of the tourist destination of Parunthumpara. It is suspected that someone living nearby could have hidden the tusks for sale. A case has been registered, a forest official said. A search will be conducted in the forests for the carcass of the elephant suspected to have been killed by poachers. https://www.thehindu.com/news/national/kerala/elephant-tusks-seized-from-rock-cavity-in-parunthumpara/article36639148.ece",1
