"title","link","published","summary","label"
"Scientists discover cheap method to identify illegal <b>ivory</b> - YouTube","https://www.youtube.com/watch?v=7y8RglFXUFo","2025-06-28T16:25:42Z","For years, smugglers have used <b>ivory</b> from mammoths to disguise shipments of higher quality elephant tusks. But scientists at Hong Kong University&nbsp;...","0"
"Bill to combat trafficking of animal parts from endangered species passes Pa. House","https://www.pennlive.com/news/2025/06/bill-to-combat-trafficking-of-animal-parts-from-endangered-species-passes-pa-house.html","2025-06-28T01:19:59Z","A bill that aims to combat <b>ivory</b> trafficking and other animal parts in the commonwealth passed the state House last week and heads to the Senate.","0"
"<b>Tusks</b> cut to size: Sigh of relief for Ayyappan Kutty and other <b>elephants</b> - Onmanorama","https://www.onmanorama.com/news/kerala/2025/06/25/tusks-trimmed-ayyappan-kutty-other-elephants.html","2025-06-26T02:03:32Z","The tusker at Punnathoor Kotta whose tusks had grown so close together that he couldn't raise his trunk..Ayappan Kutty, tusker, <b>elephant tusks</b>,&nbsp;...","0"
"How unsustainable wildlife trade threatens North Korea's biodiversity | NK PRO","https://www.nknews.org/pro/how-unsustainable-wildlife-trade-threatens-north-koreas-biodiversity/","2025-06-25T13:40:30Z","... <b>elephant tusks</b> across Africa. But the DPRK's trafficking in exotic animal parts is far from the full extent of this activity, with some of the&nbsp;...","0"
"Cocaine Is the Fastest-Growing Illegal Drug Worldwide. Here’s Why.","https://www.nytimes.com/2025/06/27/world/americas/cocaine-drug-market.html","Fri, 27 Jun 2025 21:11:02 +0000","A United Nations report found a rise in users, confiscation and deaths as cocaine trafficking expands into Africa and Asia, and violence spreads into Europe.","0"
"Two Men Sentenced in Smuggling Deaths of 53 Migrants in Texas","https://www.nytimes.com/2025/06/27/us/texas-migrant-deaths-smuggling-sentence.html","Fri, 27 Jun 2025 23:28:01 +0000","The migrants were being transported in a tractor-trailer that had no air-conditioning on a day when temperatures reached more than 100 degrees.","0"
"Mammoth task of identifying legal <b>ivory</b> made simpler and cheaper by isotope analysis","https://www.chemistryworld.com/news/mammoth-task-of-identifying-legal-ivory-made-simpler-and-cheaper-by-isotope-analysis/4021758.article","2025-06-27T08:49:34Z","Stable isotope analysis could offer a new tool in the fight against wildlife poaching by helping differentiate legal mammoth <b>ivory</b> from illegal&nbsp;...","0"
"Nigeria's Commodity Firm, Neveah, Ranked Among Africa's Fastest-growing Companies","https://nannews.ng/2025/06/27/nigerias-commodity-firm-neveah-ranked-among-africas-fastest-growing-companies/","2025-06-28T05:44:46Z","See also Custom intercepts <b>Elephant Tusks</b> worth N300m in Cross River. Edited by Uche Anunne. follow and like on: Facebook. fb-share-icon. X&nbsp;...","0"
"That morning brew could be doing more than just jumpstarting your day—helping your cells ...","https://theprint.in/scientifix/that-morning-brew-could-be-doing-more-than-just-jumpstarting-your-day-helping-your-cells-age-gracefully/2673495/","2025-06-29T07:21:28Z","... <b>ivory</b> and illegal elephant <b>ivory</b>. To protect elephants from extinction, the global sale of elephant <b>ivory</b> is banned; however, mammoth <b>ivory</b>, which&nbsp;...","0"
"Hi-tech analysis helps identify elephant <b>ivory</b> disguised as legal mammoth <b>ivory</b> + ...","https://www.youtube.com/watch?v=PwPw6Zr9eZ0","2025-06-29T04:06:41Z","(24 Jun 2025) ASSOCIATED PRESS ARCHIVE: Ol Pejeta Conservancy, Laikipia, Kenya - 22 May 2019 1. Various of elephants grazing at Ol Pejeta&nbsp;...","0"
"News 12 Lo g Isla d","https://www.google.com/url?rct=j\a=t\rl=http= s://longisland.news12.com/source-man-fatally-stabbed-in-freeport\t=ga\d=CAEY= ACoUMTMxMDc1ODQyNjc2MTgyODA5OTEyGjYzNTVlYWExYWFjYzI3MmQ6Y29tOmVuOlVT\sg=AOvV= aw0Efk8NRoeiyEF0PE3AE5BU","2025-05-12 00:00:00","""Police: 46-yea -old H= empstead woma a ested i fatal F eepo t stabbi g. Autho ities say Ivo y Washi gto stabbed the victim du = i g a domestic dispute i f o t of a home o F ede ick Ave ue. The victim wa= s ushed to ...""","0"
"Af ica I tell= ige ce","https://www.google.com/url?rct=j\a=t\r= l=https://www.africaintelligence.com/west-africa/2025/05/12/treasury-struggl= es-to-buy-its-e-payment-platforms,110446795-bre\t=ga\d=CAEYASoUMTMxMDc1ODQyN= jc2MTgyODA5OTEyGjYzNTVlYWExYWFjYzI3MmQ6Y29tOmVuOlVT\sg=AOvVaw0_Z_9qXp6fuLhjJ= pOIT1Z7","2025-05-12 00:00:00","""Ivo= y Coast : T easu y st uggles to buy its e-payme t platfo ms. A thu Augusti Pascal Ahoussi, di ecto ge e= al of Ivo y Coast's T easu y has i itiated egotiatio s with the fou de of= BMI-CI Fi a ces, ...""","0"
"IOL","https://www.google.com/url?rct=j\a=t\rl=https://iol.co.za/bu= siness-report/economy/2002-10-25-sa-to-lobby-cites-meeting-for-approval-to-s= ell-30-tons-of-ivory/\t=ga\d=CAEYAioUMTMxMDc1ODQyNjc2MTgyODA5OTEyGjYzNTVlYWE= xYWFjYzI3MmQ6Y29tOmVuOlVT\sg=AOvVaw2gWSDWIsxWasiBbGF9PZXT","2025-05-12 00:00:00","""SA to lobby Cites me= eti g fo app oval to sell 30 to s of ivo y. ..= . upcomi g Co ve tio o I te atio al T ade i E da ge ed Species (Cites) c= o fe e ce, i cludi g a co te tious motio fo the sale of 30 to s of ivo y.""","0"
"News 12 Lo g Isla d","https://www.google.com/url?rct=j\a=t\rl=https://longisland.ne= ws12.com/source-man-fatally-stabbed-in-freeport\t=ga\d=CAEYACoUMTMxMDc1ODQyN= jc2MTgyODA5OTEyGjYzNTVlYWExYWFjYzI3MmQ6Y29tOmVuOlVT\sg=AOvVaw0Efk8NRoeiyEF0P= E3AE5BU","2025-05-12 00:00:00","""Police: 46-yea -old Hempstead woma a ested i fatal F eep= o t stabbi g. Autho ities say Ivo y Washi gto stabbed the victim d= u i g a domestic dispute i f o t of a home o F ede ick Ave ue. The victim = was ushed to ...""","0"
"Af ica I tellige ce","https://www.google.com/url?rct=j\a=t\rl=https://www.africaint= elligence.com/west-africa/2025/05/12/treasury-struggles-to-buy-its-e-payment= -platforms,110446795-bre\t=ga\d=CAEYASoUMTMxMDc1ODQyNjc2MTgyODA5OTEyGjYzNTVl= YWExYWFjYzI3MmQ6Y29tOmVuOlVT\sg=AOvVaw0_Z_9qXp6fuLhjJpOIT1Z7","2025-05-12 00:00:00","""Ivo y Coast : T easu y st uggles to buy its e-payme t platf= o ms. A thu Augusti Pascal Ahoussi, di ecto ge e al of I= vo y Coast's T easu y has i itiated egotiatio s with the fou de of BMI-CI = Fi a ces, ...""","0"
"IOL","https://www.google.com/url?rct=j\a=t\rl=https://iol.co.za/bus= iness-report/economy/2002-10-25-sa-to-lobby-cites-meeting-for-approval-to-se= ll-30-tons-of-ivory/\t=ga\d=CAEYAioUMTMxMDc1ODQyNjc2MTgyODA5OTEyGjYzNTVlYWEx= YWFjYzI3MmQ6Y29tOmVuOlVT\sg=AOvVaw2gWSDWIsxWasiBbGF9PZXT","2025-05-12 00:00:00","""SA to lobby Cites meeti g fo app oval to sell 30 to s of i= vo y. ... upcomi g Co ve tio o I te atio al T ade i E d= a ge ed Species (Cites) co fe e ce, i cludi g a co te tious motio fo the s= ale of 30 to s of ivo y.""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=https://www.ndtv.com/= lifestyle/chitrangda-singh-paints-a-picture-of-serenity-in-an-ivory-silk-cor= set-skirt-and-cape-ensemble-8385796\t=ga\d=CAEYAyoUMTMxMDc1ODQyNjc2MTgyODA5O= TEyGjYzNTVlYWExYWFjYzI3MmQ6Y29tOmVuOlVT\sg=AOvVaw1Vriee2QUFXzSsnEOt-Zqo","2025-05-12 00:00:00","""Chit a gda Si gh Pai ts A Pictu e Of Se e ity I A Ivo y S= ilk Co set, Ski t A d Cape E semble. Chit a gda Si gh makes a sa to ial stateme t i a iv= o y silk th ee-piece set, by desig e Divya Aggawa l.""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=https://w= ww.ewn.co.za/2025/05/11/police-appeal-for-help-to-catch-poachers-who-killed-= elephant-and-vultures-in-kruger-national-park\t=ga\d=CAEYASoUMTYzMTkxMjUwOTU= 3MzM0NDM4NDAyGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvVaw2iBv_qM26ZPA6r9YK= A2lIL","2025-05-11 00:00:00","""Police appeal fo help to catc= h poache s who killed elepha t a d vultu es i K uge Natio al Pa k. While the elepha t's tusks we e ot emoved, officials have = co dem ed the act as a se ious e vi o me tal c ime. P ovi cial police spokes= pe so ...""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=h= ttps://www.saps.gov.za/newsroom/msspeechdetail.php%3Fnid%3D60801\t=ga\d=CAEY= AioUMTYzMTkxMjUwOTU3MzM0NDM4NDAyGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvV= aw3F6Btkr-YEAZOKclky6IgN","2025-05-11 00:00:00","""Limpopo police lau ch = ma hu t followi g illegal hu ti g of elepha t a d vultu e poiso i g .... It was oted that both tusks o the elepha t we e still = i tact, suggesti g the poache s may have bee distu bed befo e they could e= move them. The ...""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=https://www.telegraph= .co.uk/travel/activity-and-adventure/few-supertuskers-left/\t=ga\d=CAEYACoUM= TYzMTkxMjUwOTU3MzM0NDM4NDAyGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvVaw1WE= UiPv2BlkH3dO5sxW2Yc","2025-05-11 00:00:00","""Ke ya's 'supe tuske ' elepha ts a e i da ge he e's wh= y we must save them. I times of hu ti g a d heavy poachi g, elepha ts wit= h smalle tusks a d lesse ivo y hauls we e the o es who su vived a = d passed o thei ...""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=https://www.ewn.co.za= /2025/05/11/police-appeal-for-help-to-catch-poachers-who-killed-elephant-and= -vultures-in-kruger-national-park\t=ga\d=CAEYASoUMTYzMTkxMjUwOTU3MzM0NDM4NDA= yGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvVaw2iBv_qM26ZPA6r9YKA2lIL","2025-05-11 00:00:00","""Police appeal fo help to catch poache s who killed elepha = t a d vultu es i K uge Natio al Pa k. While the elepha t's tusks we e ot emoved, official= s have co dem ed the act as a se ious e vi o me tal c ime. P ovi cial police= spokespe so ...""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=https://www.saps.gov.= za/newsroom/msspeechdetail.php%3Fnid%3D60801\t=ga\d=CAEYAioUMTYzMTkxMjUwOTU3= MzM0NDM4NDAyGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvVaw3F6Btkr-YEAZOKclky= 6IgN","2025-05-11 00:00:00","""Limpopo police lau ch ma hu t followi g illegal hu ti g of = elepha t a d vultu e poiso i g .... It was oted that both tusks o the elepha t we e sti= ll i tact, suggesti g the poache s may have bee distu bed befo e they could= emove them. The ...""","0"
"IOL","https://www.google.com/url?rct=j\a=t\rl=https://iol.co.za/bus= iness-report/economy/2002-10-25-sa-to-lobby-cites-meeting-for-approval-to-se= ll-30-tons-of-ivory/\t=ga\d=CAEYAyoUMTYzMTkxMjUwOTU3MzM0NDM4NDAyGjgwNDUxZDVi= ZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvVaw2gWSDWIsxWasiBbGF9PZXT","2025-05-11 00:00:00","""SA to lobby Cites meeti g fo app oval to sell 30 to s of i= vo y. The e has bee much debate i e vi o me tal ci cles o= the sale of ivo y, which ma y believe will lead to a i c ease i the ille= gal t ade of elepha t ...""","0"
"MSN","https://www.google.com/url?rct=j\a=t\rl=http://www.msn.com/en-us/lifestyle/lifestyle-buzz/lewis-hamilton-s-ivory-suit-was-the-talk-of-the-met-gala/ar-AA1EdHyx%3Fcvid%3D33362DB37E0748889CD8A3E55110DE14%26ocid%3Dwispr%26apiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1\t=ga\d=CAEYACoTNDA0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw3iTayZu8RuQJ_sebBFKmZp","2025-05-11 00:00:00","""Lewis Hamilto 's Ivo y Suit Was the Talk of the Met Gala. A c opped ivo y jacket sat just above a pai of st iped tuxedo t ouse s, f om which a meticulously emb oide ed sash flowed. Mic osoft Sta t App Logo ...""","0"
"YouTube","https://www.google.com/url?rct=j\a=t\rl=https://www.youtube.com/watch%3Fv%3DQFKU4sDjLWU\t=ga\d=CAEYASoTNDA0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw2lziTnk7gBVmICdQyQ3slf","2025-05-11 00:00:00","""AIR PEACE AIRLIFTS NIGERIAN GIRLS TRAFFICKED TO IVORY COAST. Subsc ibe to ou Cha el fo high p ofile i te views. Follow us o Twitte at https://twitte .com/ARISEtv | a d I stag am: ...""","0"
"NewsB eak","https://www.google.com/url?rct=j\a=t\rl=https://www.newsbreak.com/daily-voice-525087/4001872244277-ivory-washington-charged-in-fatal-freeport-stabbing\t=ga\d=CAEYAioTNDA0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw2L8HK_odZOXaSZRvDViy30","2025-05-11 00:00:00","""Ivo y Washi gto Cha ged I Fatal F eepo t Stabbi g. A physicia p o ou ced him dead at 8:30 p.m.. Detectives say 46-yea -old Ivo y Washi gto of Totte St eet i Hempstead stabbed the ma du i g a ...""","0"
"Nasdaq","https://www.google.com/url?rct=j\a=t\rl=https://www.nasdaq.com/articles/ivory-coast-cocoa-crop-concerns-underpin-prices\t=ga\d=CAEYAyoTNDA0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw3CpXYJn_RkpD00y5jdyuTe","2025-05-11 00:00:00","""Ivo y Coast Cocoa C op Co ce s U de pi P ices. ... F iday settled highe , with NY cocoa posti g a 1-1/2 week high a d Lo do cocoa posti g a 5-week high. Quality co ce s ega di g the Ivo y Coast...""","0"
"N/A","https://www.google.com/url?rct=j\a=t\rl=http://www.msn.com/en= -us/lifestyle/lifestyle-buzz/lewis-hamilton-s-ivory-suit-was-the-talk-of-the= -met-gala/ar-AA1EdHyx%3Fcvid%3D33362DB37E0748889CD8A3E55110DE14%26ocid%3Dwis= pr%26apiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents= %3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1\t=ga\d=C= AEYACoTNDA0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AO= vVaw3iTayZu8RuQJ_sebBFKmZp","2025-05-11 00:00:00","""Lewis Hamilto 's Ivo y Suit Was the Talk of the Met Gala. A c opped ivo y jacket sat just above a pai of st ip= ed tuxedo t ouse s, f om which a meticulously emb oide ed sash flowed. Mic o= soft Sta t App Logo ...""","0"
"YouTube","https://www.google.com/url?rct=j\a=t\rl=https://www.youtube.c= om/watch%3Fv%3DQFKU4sDjLWU\t=ga\d=CAEYASoTNDA0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NW= VhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw2lziTnk7gBVmICdQyQ3slf","2025-05-11 00:00:00","""AIR PEACE AIRLIFTS NIGERIAN GIRLS TRAFFICKED TO IVORY COAST=. Subsc ibe to ou Cha el fo high p ofile i te views.= Follow us o Twitte at https://twitte .com/ARISEtv | a d I stag am: ...""","0"
"NewsB= eak","https://www.google.com/url?rct=j\a=t\rl=https://www.newsbreak= .com/daily-voice-525087/4001872244277-ivory-washington-charged-in-fatal-free= port-stabbing\t=ga\d=CAEYAioTNDA0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NWVhYTFhYWNjMjc= yZDpjb206ZW46VVM\sg=AOvVaw2L8HK_odZOXaSZRvDViy30","2025-05-11 00:00:00","""Ivo y Washi gto Cha ged I Fatal F eepo t Stabbi g. A physicia p o ou ced him dead at 8:30 p.m.. Detecti= ves say 46-yea -old Ivo y Washi gto of Totte St eet i Hempstead stabbed t= he ma du i g a ...""","0"
"Nasdaq","https://www.google.com/url?rct=j\a=t\rl=https://www.nasdaq.co= m/articles/ivory-coast-cocoa-crop-concerns-underpin-prices\t=ga\d=CAEYAyoTND= A0Njk5MzI3MzQwMTUzOTI2MTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw3CpXY= Jn_RkpD00y5jdyuTe","2025-05-11 00:00:00","""Ivo y Coast Cocoa C op Co ce s U de pi P ices. ... F iday settled highe , with NY cocoa posti g a 1-= 1/2 week high a d Lo do cocoa posti g a 5-week high. Quality co ce s ega = di g the Ivo y Coast...""","0"
"The Co ve satio","https://www.google.com/url?rct=j\a=t\rl=https://theconversation.com/insect-trafficking-poses-a-risk-to-wildlife-and-human-health-255273\t=ga\d=CAEYACoUMTU2NzM4NjEwNDE3NzY2NjU3NzYyGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvVaw3o_Hj3dK7XHjeMQpwMpEqz","2025-05-10 00:00:00","""I sect t afficki g poses a isk to wildlife a d huma health. Wildlife t afficki g is ofte associated mo e with these cha ismatic species a d p oducts made f om them such as elepha t tusks a d hi o ho .""","0"
"TV47 Digital","https://www.google.com/url?rct=j\a=t\rl=https://www.tv47.digital/nine-family-members-killed-in-house-fire-laid-to-rest-in-mass-grave-98736/\t=ga\d=CAEYASoUMTU2NzM4NjEwNDE3NzY2NjU3NzYyGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOlVT\sg=AOvVaw274dMHuKoO5NJL7_KaRn-7","2025-05-10 00:00:00","""Ni e family membe s killed i house fi e laid to est i mass g ave. 2 suspects a ested afte bei g fou d with 3 elepha t tusks i Mwi gi. I a hea tb eaki g t ibute, doze s of child e ca yi g w eaths bid fa ewell ...""","0"
"The Co ve satio","https://www.google.com/url?rct=j\a=t\rl=https://theconversati= on.com/insect-trafficking-poses-a-risk-to-wildlife-and-human-health-255273\t= =ga\d=CAEYACoUMTU2NzM4NjEwNDE3NzY2NjU3NzYyGjgwNDUxZDViZmVkNDEzMTg6Y29tOmVuOl= VT\sg=AOvVaw3o_Hj3dK7XHjeMQpwMpEqz","2025-05-10 00:00:00","""I sect t afficki g poses a isk to wildlife a d huma healt= h. Wildlife t afficki g is ofte associated mo e with th= ese cha ismatic species a d p oducts made f om them such as elepha t tusks a= d hi o ho .""","0"
"TV47 Digital","https://www.google.com/url?rct=j\a=t\rl=https://www.tv47.digi= tal/nine-family-members-killed-in-house-fire-laid-to-rest-in-mass-grave-9873= 6/\t=ga\d=CAEYASoUMTU2NzM4NjEwNDE3NzY2NjU3NzYyGjgwNDUxZDViZmVkNDEzMTg6Y29tOm= VuOlVT\sg=AOvVaw274dMHuKoO5NJL7_KaRn-7","2025-05-10 00:00:00","""Ni e family membe s killed i house fi e laid to est i ma= ss g ave. 2 suspects a ested afte bei g fou d with 3 elepha t= tusks i Mwi gi. I a hea tb eaki g t ibute, doze s of child e ca yi g w = eaths bid fa ewell ...""","0"
"Unknown Source","https://www.google.com/url?rct=j= \a=t\rl=https://www.ktvu.com/news/ivory-coast-men-san-jose-teen-sextortation= -case-suicide\t=ga\d=CAEYAioTMTAyOTE5NzcyMTMwNzMwOTYyMTIaNjM1NWVhYTFhYWNjMjc= yZDpjb206ZW46VVM\sg=AOvVaw1kvzHdbLoSRz6s2kyBopS4","2025-05-10 00:00:00","""Ivo y Co= ast me tied to sexto tio scheme that led to suicide of Sa Jose tee , DOJ = says. Fou me i the Ivo y Coast have bee li ked to= a i te atio al sexto tio scheme that ta geted thousa ds of victims, i cl= udi g mi o s o e of ...""","0"
"MSN","https://www.google.com/url?rct=j\a=t\rl=http://www.msn.com/en= -us/money/companies/ivory-raises-1m-for-brain-health-tech/ar-AA1DLR13%3Fapiv= ersion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wc= seo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1\t=ga\d=CAEYACoTMT= AyOTE5NzcyMTMwNzMwOTYyMTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw0UE1D= CSmnpH-CxFuZ-FDnt","2025-05-10 00:00:00","""Ivo y aises $1M fo b ai health tech. Ivo y, a Be galu u-based b ai health sta tup, has se= cu ed $1 millio i f esh fu di g. The ou d...""","0"
"YouTube","https://www.google.com/url?rct=j\a=t\rl=https://www.youtube.c= om/watch%3Fv%3DkCcUeRRw0-Y\t=ga\d=CAEYASoTMTAyOTE5NzcyMTMwNzMwOTYyMTIaNjM1NW= VhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw3POOvahkhBsW6wgfH_XImO","2025-05-10 00:00:00","""Catholics i Ivo y Coast happy with electio of ew Pope Le= o XIV. 05/09/catholics-i -ivo y-coast-happy-with-electio -of= - ew-pope-leo-xiv Subsc ibe o ou Youtube cha el https://www.youtube.com/c= /af ica ews ...""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=https://www.ktvu.com/= news/ivory-coast-men-san-jose-teen-sextortation-case-suicide\t=ga\d=CAEYAioT= MTAyOTE5NzcyMTMwNzMwOTYyMTIaNjM1NWVhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw1kv= zHdbLoSRz6s2kyBopS4","2025-05-10 00:00:00","""Ivo y Coast me tied to sexto tio scheme that led to suici= de of Sa Jose tee , DOJ says. Fou me i the Ivo y Coast have bee li ked to a i = te atio al sexto tio scheme that ta geted thousa ds of victims, i cludi g = mi o s o e of ...""","0"
"Unknown Source","https://www.google.com/url?rct=j\a=t\rl=https://www.ttu.edu/n= ow/posts/2025/05/whitacre-college-student-returned-to-campus-invigorated-aft= er-a-summer-internship.php\t=ga\d=CAEYAyoTMTAyOTE5NzcyMTMwNzMwOTYyMTIaNjM1NW= VhYTFhYWNjMjcyZDpjb206ZW46VVM\sg=AOvVaw0Injw262v34cn7JA29OqKi","2025-05-10 00:00:00","""Whitac e College Stude t Retu ed to Campus I vigo ated Aft= e a Summe I te ship. Ivo y Villegas st uggled du i g his fi st yea s at Te= xas Tech. The he took a i te ship that ig ited his passio fo pet oleum = e gi ee i g a d ...""","0"
