title,link,published,summary,label
Qatar Tribune report on wildlife trafficking,https://www.qatar-tribune.com/news-details/id/152585,,A Qatar Tribune article reporting on an incident related to wildlife trafficking. It highlights enforcement actions taken against those involved in illegal trade.,1
Elephant tusk trafficking case reported on Weixin,https://mp.weixin.qq.com/s/AJdeomdfo78zJXCZdSuYWg,,A Weixin post describing a recent case of elephant tusk smuggling. Officials emphasize increased vigilance and ongoing operations to curb illegal wildlife trade.,1
Crackdown on ivory smuggling (Weixin),https://mp.weixin.qq.com/s/y-_ajMs1Seom7JNNVVYKOw,,Another Weixin article detailing an enforcement operation against ivory smugglers. Authorities seized tusks and apprehended suspects linked to the trade.,1
Two Vietnamese enterprises fined for selling walrus ivory (Zing News),https://zingnews.vn/hai-doanh-nghiep-ban-trang-suc-nga-voi-bi-phat-gan-mot-ty-dong-post1297143.html,,Zing News reports that two companies selling walrus-ivory jewelry have been fined nearly one billion dong. This case underscores Vietnam’s stricter measures against illegal wildlife products.,1
Elephant tusk trafficking case (Weixin),https://mp.weixin.qq.com/s/AJdeomdfo78zJXCZdSuYWg,,"(Duplicate link) A Weixin post describing a recent case of elephant tusk smuggling, echoing details about an ongoing crackdown and enforcement results.",1
Ivory from at least 150 poached elephants seized in the DRC raid,https://africanelephantjournal.com/ivory-from-at-least-150-poached-elephants-seized-in-the-drc-raid/,,"According to the African Elephant Journal, authorities in the DRC seized ivory from an estimated 150 elephants. The raid reflects extensive poaching and smuggling networks in the region.",1
"Interpol makes arrests, seizures in African clampdown on firearms trafficking",https://english.alarabiya.net/News/world/2022/07/02/Interpol-make-arrests-seizures-in-African-clampdown-on-firearms-trafficking,2022-07-02,"Interpol’s operation led to multiple arrests and seizures, including elephant ivory found alongside illegal firearms. This clampdown targeted cross-border criminal networks in Africa.",1
1.5 tonnes of elephant ivory seized in southeast DR Congo,https://www.aljazeera.com/news/2022/5/19/1-5-tonnes-of-elephant-ivory-seized-in-southeast-dr-congo,2022-05-19,Authorities in southeastern DR Congo confiscated 1.5 tonnes of elephant ivory in a major bust. Investigations suggest the tusks originated from extensive poaching operations.,1
One and a half tons of ivory seized in Lubumbashi,https://me-confidential.com/27098-one-and-a-half-tons-of-ivory-seized-in-lubumbashi.html,,"A report indicates that 1.5 tons of elephant ivory were discovered in Lubumbashi, DR Congo. Local officials are investigating links to larger trafficking networks.",1
"STF team arrests smuggler, seizes elephant tusk",http://www.uniindia.com/~/stf-team-arrests-smuggler-and-seized-an-elephant-tusk-from-his-possession/States/news/2562768.html,,A Special Task Force (STF) apprehended a suspect in possession of an elephant tusk. The arrest is part of ongoing efforts to combat illegal wildlife trafficking.,1
Recent enforcement actions against ivory trade (Weixin),https://mp.weixin.qq.com/s/Il5KknhsoFKhNLpCEpR2dQ,,"A Weixin post detailing recent enforcement measures against illegal ivory trade, highlighting arrests and the confiscation of smuggled tusks.",1
Chhattisgarh: 3 held for removing tusks of dead elephant,https://www.outlookindia.com/newsscroll/chhattisgarh-3-held-for-removing-tusks-of-dead-elephant/2110618,,"According to an Outlook India report, three individuals were arrested in Chhattisgarh for removing tusks from a deceased elephant. Authorities have launched a thorough investigation.",1
"Operation Wildnet 3 yields more success, smuggler held",https://www.thehitavada.com/Encyc/2020/8/12/Operation-Wildnet-3-yields-more-success-smuggler-held.html,2020-08-12,"A Hitavada article about ‘Operation Wildnet 3,’ during which law enforcement officials arrested a smuggler dealing in illegal wildlife products, including elephant tusks.",1
Suspects arrested for ivory-related crime (CQN),https://www.cqn.com.cn/ms/content/2020-01/19/content_8059548.htm,2020-01-19,"Chinese media source CQN reports the arrest of suspects connected to ivory smuggling. Officials seized tusks as evidence, intensifying efforts to stop the illegal trade.",1
Four held with elephant tusk worth over Rs 1 cr,https://timesofindia.indiatimes.com/city/dehradun/four-held-with-elephant-tusk-worth-over-rs-1-cr/articleshow/81556135.cms,,"In Dehradun, authorities arrested four suspects found with an elephant tusk valued at over one crore rupees. Investigators are examining the source of the contraband.",1
Tanzania: Wildlife crime update (Daily News),https://dailynews.co.tz/news/2020-08-055f2abcf55dbb9.aspx,2020-08-05,"Daily News highlights a wildlife crime case in Tanzania, reporting arrests related to elephant tusks. Officials emphasize the importance of strict legal measures to protect elephants.",1
Tanzania: Poachers awarded 40 yrs in jail for illegal possession of trophies,https://www.africanelephantjournal.com/tanzania-poachers-awarded-40yrs-in-jail-for-illegal-possession-of-trophies/,,An African Elephant Journal article states that two poachers in Tanzania received 40-year prison sentences for possessing elephant trophies. This landmark ruling aims to deter future offenders.,1
"Rhino horn, ivory seized; three arrested from north Bengal",https://www.hindustantimes.com/india-news/rhino-horn-ivory-seized-three-arrested-from-north-bengal/story-qxGNmUEEOAtmXanwNVGqGL.html,,"Hindustan Times reports the seizure of a rhino horn and some ivory in north Bengal, with three suspects arrested. Investigations are underway to determine connections to broader smuggling rings.",1
"STF recovers ivory, rhino horn; 3 arrested",http://www.millenniumpost.in/kolkata/stf-recover-ivory-rhino-horn-3-arrested-396273,,"The Special Task Force in Kolkata recovered an ivory piece and a rhino horn, arresting three individuals. This operation is part of ongoing anti-poaching and trafficking efforts.",1
Five held for selling jumbo tusks,https://www.deccanherald.com/city/bengaluru-crime/five-held-for-selling-jumbo-tusks-758910.html,,"Bengaluru Police arrested five suspects involved in selling elephant tusks, often referred to as “jumbo tusks.” The operation is part of broader efforts to combat illegal wildlife trade.",1
"Two elephant tusks seized in Verna raid, two arrested",https://navhindtimes.in/two-elephant-tusks-seized-in-verna-raid-two-arrested/,,"Police in Verna conducted a raid, seizing two elephant tusks and arresting two individuals. Authorities are investigating whether the tusks are linked to a larger smuggling network.",1
Two held for smuggling elephant tusks in Goa,https://timesofindia.indiatimes.com/city/goa/two-held-for-smuggling-elephant-tusks/articleshow/68505376.cms.,,Two suspects were apprehended in Goa on charges of smuggling elephant tusks. The Times of India reports that law enforcement is ramping up operations against wildlife trafficking.,1
Suspects with elephant tusks arrested (Kempton Express),https://kemptonexpress.co.za/196652/suspects-with-elephant-tusks-arrested/,,Kempton Express covers the arrest of suspects found in possession of elephant tusks. Local authorities stress the importance of public cooperation to end illegal wildlife trade.,1
1.424 kg of elephant tusks seized from gang of six in Bommasandra,https://www.deccanherald.com/city/bengaluru-crime/1424-kg-of-elephant-tusks-seized-from-gang-of-six-in-bommasandra-1082729.html,,Bengaluru officials seized 1.424 kilograms of elephant tusks and arrested six suspects in Bommasandra. Investigations continue to uncover the full extent of their smuggling activities.,1
6 truck drivers held for transporting jumbo tusks,https://bangaloremirror.indiatimes.com/bangalore/crime/6-truck-drivers-held-for-transporting-jumbo-tusks/articleshow/89648475.cms,,Bangalore Mirror reports the arrest of six truck drivers who allegedly transported elephant tusks. Authorities are investigating how the tusks were sourced and the destination of the shipment.,1
Assam: Two Arunachal Men Arrested for Smuggling Ivory,https://www.eastmojo.com/assam/2022/08/24/assam-two-arunachal-men-arrested-for-smuggling-ivory/#bypass-sw,2022-08-24,EastMojo reports that two men from Arunachal Pradesh were arrested for smuggling ivory. The operation comes amid heightened enforcement in the region targeting illegal wildlife trade.,1
Ivory smuggling crackdown in Times of India,http://timesofindia.indiatimes.com/articleshow/69628232.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,,"The Times of India article details arrests and intensified measures against ivory smugglers, as law enforcement agencies ramp up efforts to combat illegal wildlife trafficking.",1
Krugersdorp: Woman Arrested for Possession of Elephant Tusks,https://krugersdorpnews.co.za/371431/krugersdorp-woman-arrested-for-possession-of-elephant-tusks/,,Krugersdorp News reports that a woman was arrested for possession of elephant tusks. The arrest is part of ongoing operations to disrupt illegal wildlife trade in the area.,1
3 Ivory Traffickers Arrested with Two Tusks,https://www.eagle-enforcement.org/news/3-ivory-traffickers-arrested-with-two-tusks--A557/,,"EAGLE Enforcement reports that three individuals involved in ivory trafficking were arrested after being found with two elephant tusks, underscoring efforts to target wildlife crime networks.",1
Gabon: Three Ivory Traffickers Arrested in Makokou,https://agencedepressepanafricaine.com/gabon-trois-trafiquants-divoire-arretes-a-makokou/,,"Agence de Presse Panafricaine reports that in Makokou, Gabon, three ivory traffickers were arrested as part of a broader crackdown on the illegal ivory trade.",1
Malawi's Nkhotakota: Man Arrested for Killing an Elephant,https://www.maravipost.com/malawis-nkhotakota-man-arrested-for-killing-an-elephant/,,"Maravi Post reports that a man from Malawi's Nkhotakota has been arrested for allegedly killing an elephant, highlighting the region's efforts to counter poaching.",1
Police Arrest Man Over Ivory,https://www.nyasatimes.com/police-arrest-man-over-ivory/,,"Nyasa Times reports that police have arrested a man in connection with ivory possession, as part of intensified measures against illegal wildlife trade.",1
"Ivory Jewellery Sale on Facebook Busted, 2 Held in Hyderabad",https://timesofindia.indiatimes.com/city/hyderabad/ivory-jewellery-sale-on-facebook-busted-2-held-in-hyderabad/articleshowprint/93416973.cms,,"The Times of India reports that two individuals were arrested in Hyderabad for selling ivory jewellery via Facebook, demonstrating the role of social media in illegal wildlife trade.",1
"24 Kgs of Ivory Seized, 2 Held in West Bengal",https://theprint.in/india/24-kgs-of-ivory-seized-2-held-in-west-bengal/1058686/,,The Print reports that authorities in West Bengal seized 24 kilograms of ivory and arrested two suspects in connection with the illegal ivory trade.,1
Ivory Seizure in West Bengal,https://www.newsbharati.com/Encyc/2022/7/28/ivory-West-Bengal.html,2022-07-28,News Bharati details an ivory seizure in West Bengal and enforcement actions taken against those involved in illegal wildlife trade.,1
Illegal Wildlife Body Parts Found in Medicine Shop in Chow Kit,https://www.nst.com.my/news/nation/2023/05/915292/illegal-wildlife-body-parts-found-medicine-shop-chow-kit,May-23,"NST Malaysia reports that illegal wildlife body parts were discovered in a Chow Kit medicine shop, prompting an investigation into links with wildlife trafficking.",1
Ivory Trafficking Arrests Reported on Sina,http://sd.sina.com.cn/news/2019-02-21/detail-ihqfskcp7243831.shtml,2019-02-21,"Sina reports arrests related to ivory trafficking in China, as authorities intensify efforts to clamp down on illegal wildlife products.",1
Tanzania: Warder Arrested Over Possession of Elephant Tusks,https://www.thecitizen.co.tz/News/Tanzania--Warder-arrested-over-possession-of-elephant-tusks/1840340-5056162-mtt9ps/index.html,,"The Citizen (Tanzania) reports that a warder was arrested for possessing elephant tusks, in a case that is part of broader wildlife protection measures.",1
A Corrupt Police Officer Arrested with 5 Lion Skulls,http://www.eagle-enforcement.org/news/a-corrupt-police-officer-arrested-with-5-lion-skulls-A529/,,"EAGLE Enforcement reports that a corrupt police officer was arrested for illegally possessing 5 lion skulls, highlighting issues of corruption within enforcement agencies.",1
Cameroun: Policier Arrested for Illegal Ivory Possession in Garoua,https://www.alwihdainfo.com/Cameroun-Garoua-Un-policier-arrete-en-detention-illegale-d-ivoire_a73440.html,,"Alwihda Info reports that in Garoua, Cameroon, a police officer was arrested for the illegal possession of ivory, emphasizing enforcement challenges in wildlife protection.",1
LAGA Enforcement Activity Report May 2019,http://www.laga-enforcement.org/en/activity-report-may-2019-R,May-19,"The LAGA Enforcement report for May 2019 provides an overview of operations against wildlife crime, including actions targeting poaching and ivory trafficking.",1
"Two Pieces of Tusk Seized, Six Detained near Srivilliputtur",https://www.thehindu.com/news/national/tamil-nadu/two-pieces-of-tusk-seized-six-detained-near-srivilliputtur/article25806323.ece,,"The Hindu reports that near Srivilliputtur, Tamil Nadu, two pieces of elephant tusk were seized and six people detained in connection with ivory smuggling.",1
Ivory Seizure Operation in China Reported by Xinhua,http://www.xinhuanet.com/english/2019-05/06/c_138038026.htm,2019-05-06,"Xinhua reports on a wildlife trafficking operation in China, where authorities seized significant quantities of elephant ivory and arrested multiple suspects.",1
Syndicate Smuggling Animal Body Parts Busted in Kolkata,https://zeenews.india.com/kolkata/syndicate-smuggling-animal-body-parts-busted-in-kolkata-tusks-and-tiger-teeth-recovered-2223428.html,,"Zee News India reports that a syndicate smuggling animal body parts was busted in Kolkata, with elephant tusks and tiger teeth recovered during the operation.",1
"DRI Seizes 12 Kgs of Elephant Tusks, Tiger Teeth from Kolkata; Three Arrested",https://www.devdiscourse.com/article/national/616761-dri-seizes-12-kgs-of-elephant-tusks-tiger-teeth-from-kolkata-three-arrested,,"Devdiscourse reports that authorities in Kolkata seized 12 kilograms of elephant tusks along with tiger teeth, and three individuals were arrested in connection with the illegal trade.",1
Tanzanian Police Arrest 7 Suspects with Elephant Tusks,https://www.newsghana.com.gh/tanzanian-police-arrest-7-suspects-with-elephant-tusks/,,News Ghana reports that Tanzanian police have arrested seven suspects for possessing elephant tusks as part of efforts to counter wildlife trafficking.,1
